chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	322114328	72.55	0	637
BdenJEL423_SC01_region	4440149	322114328	72.55	0	637
BdenJEL423_SC02	2313122	256210661	110.76	0	1526
BdenJEL423_SC02_region	2313122	256210661	110.76	0	1526
BdenJEL423_SC03	1829408	202685941	110.79	0	1824
BdenJEL423_SC03_region	1829408	202685941	110.79	0	1824
BdenJEL423_SC04	1803316	130530066	72.38	0	299
BdenJEL423_SC04_region	1803316	130530066	72.38	0	299
BdenJEL423_SC05	1707251	179471493	105.12	0	1638
BdenJEL423_SC05_region	1707251	179471493	105.12	0	1638
BdenJEL423_SC06	1545501	117586596	76.08	0	3109
BdenJEL423_SC06_region	1545501	117586596	76.08	0	3109
BdenJEL423_SC07	1398854	105107099	75.14	0	814
BdenJEL423_SC07_region	1398854	105107099	75.14	0	814
BdenJEL423_SC08	1069847	88822923	83.02	0	4066
BdenJEL423_SC08_region	1069847	88822923	83.02	0	4066
BdenJEL423_SC09	1057463	76187829	72.05	0	278
BdenJEL423_SC09_region	1057463	76187829	72.05	0	278
BdenJEL423_SC10	1012305	73696765	72.80	0	307
BdenJEL423_SC10_region	1012305	73696765	72.80	0	307
BdenJEL423_SC11	979369	77075107	78.70	0	632
BdenJEL423_SC11_region	979369	77075107	78.70	0	632
BdenJEL423_SC12	937107	68274532	72.86	0	366
BdenJEL423_SC12_region	937107	68274532	72.86	0	366
BdenJEL423_SC13	898261	71717438	79.84	0	2100
BdenJEL423_SC13_region	898261	71717438	79.84	0	2100
BdenJEL423_SC14	857155	200077755	233.42	0	5571
BdenJEL423_SC14_region	857155	200077755	233.42	0	5571
BdenJEL423_SC15	557602	44929892	80.58	0	518
BdenJEL423_SC15_region	557602	44929892	80.58	0	518
BdenJEL423_SC16	498254	35799961	71.85	0	344
BdenJEL423_SC16_region	498254	35799961	71.85	0	344
BdenJEL423_SC17	243426	19667585	80.79	0	259
BdenJEL423_SC17_region	243426	19667585	80.79	0	259
BdenJEL423_SC18	48566	4851035	99.89	0	1373
BdenJEL423_SC18_region	48566	4851035	99.89	0	1373
BdenJEL423_SC19	69118	3322549	48.07	0	168
BdenJEL423_SC19_region	69118	3322549	48.07	0	168
BdenJEL423_SC20	45066	4325540	95.98	0	293
BdenJEL423_SC20_region	45066	4325540	95.98	0	293
BdenJEL423_SC21	28371	2964613	104.49	0	178
BdenJEL423_SC21_region	28371	2964613	104.49	0	178
BdenJEL423_SC22	17531	945135	53.91	0	192
BdenJEL423_SC22_region	17531	945135	53.91	0	192
BdenJEL423_SC23	15724	2394814	152.30	0	769
BdenJEL423_SC23_region	15724	2394814	152.30	0	769
BdenJEL423_SC24	15635	1225247	78.37	0	201
BdenJEL423_SC24_region	15635	1225247	78.37	0	201
BdenJEL423_SC25	13302	928500	69.80	0	313
BdenJEL423_SC25_region	13302	928500	69.80	0	313
BdenJEL423_SC26	12287	996500	81.10	1	214
BdenJEL423_SC26_region	12287	996500	81.10	1	214
BdenJEL423_SC27	11745	1630484	138.82	0	592
BdenJEL423_SC27_region	11745	1630484	138.82	0	592
BdenJEL423_SC28	11715	1123223	95.88	0	205
BdenJEL423_SC28_region	11715	1123223	95.88	0	205
BdenJEL423_SC29	10519	545606	51.87	0	139
BdenJEL423_SC29_region	10519	545606	51.87	0	139
BdenJEL423_SC30	9825	502621	51.16	0	105
BdenJEL423_SC30_region	9825	502621	51.16	0	105
BdenJEL423_SC31	9499	717360	75.52	0	178
BdenJEL423_SC31_region	9499	717360	75.52	0	178
BdenJEL423_SC32	9394	1096744	116.75	0	455
BdenJEL423_SC32_region	9394	1096744	116.75	0	455
BdenJEL423_SC33	8891	752689	84.66	0	129
BdenJEL423_SC33_region	8891	752689	84.66	0	129
BdenJEL423_SC34	8868	787498	88.80	0	204
BdenJEL423_SC34_region	8868	787498	88.80	0	204
BdenJEL423_SC35	14477	4031845	278.50	0	1737
BdenJEL423_SC35_region	14477	4031845	278.50	0	1737
BdenJEL423_SC36	8411	715723	85.09	0	167
BdenJEL423_SC36_region	8411	715723	85.09	0	167
BdenJEL423_SC37	8246	434170	52.65	0	170
BdenJEL423_SC37_region	8246	434170	52.65	0	170
BdenJEL423_SC38	7919	500053	63.15	0	129
BdenJEL423_SC38_region	7919	500053	63.15	0	129
BdenJEL423_SC39	7486	604019	80.69	0	249
BdenJEL423_SC39_region	7486	604019	80.69	0	249
BdenJEL423_SC40	7373	434899	58.99	0	100
BdenJEL423_SC40_region	7373	434899	58.99	0	100
BdenJEL423_SC41	7250	9673677	1334.30	5	1891
BdenJEL423_SC41_region	7250	9673677	1334.30	5	1891
BdenJEL423_SC42	7213	437744	60.69	0	137
BdenJEL423_SC42_region	7213	437744	60.69	0	137
BdenJEL423_SC43	7203	445933	61.91	1	138
BdenJEL423_SC43_region	7203	445933	61.91	1	138
BdenJEL423_SC44	7151	422254	59.05	0	147
BdenJEL423_SC44_region	7151	422254	59.05	0	147
BdenJEL423_SC45	7120	677349	95.13	0	166
BdenJEL423_SC45_region	7120	677349	95.13	0	166
BdenJEL423_SC46	7014	416737	59.42	0	145
BdenJEL423_SC46_region	7014	416737	59.42	0	145
BdenJEL423_SC47	6856	1268596	185.03	0	555
BdenJEL423_SC47_region	6856	1268596	185.03	0	555
BdenJEL423_SC48	6834	685655	100.33	0	153
BdenJEL423_SC48_region	6834	685655	100.33	0	153
BdenJEL423_SC49	6519	1354617	207.80	0	1437
BdenJEL423_SC49_region	6519	1354617	207.80	0	1437
BdenJEL423_SC50	6174	428687	69.43	0	127
BdenJEL423_SC50_region	6174	428687	69.43	0	127
BdenJEL423_SC51	6095	2052709	336.79	0	2721
BdenJEL423_SC51_region	6095	2052709	336.79	0	2721
BdenJEL423_SC52	6071	251518	41.43	4	103
BdenJEL423_SC52_region	6071	251518	41.43	4	103
BdenJEL423_SC53	6016	5857069	973.58	0	2783
BdenJEL423_SC53_region	6016	5857069	973.58	0	2783
BdenJEL423_SC54	5992	3071092	512.53	0	3043
BdenJEL423_SC54_region	5992	3071092	512.53	0	3043
BdenJEL423_SC55	5977	256592	42.93	0	100
BdenJEL423_SC55_region	5977	256592	42.93	0	100
BdenJEL423_SC56	5808	261925	45.10	0	252
BdenJEL423_SC56_region	5808	261925	45.10	0	252
BdenJEL423_SC57	5752	915352	159.14	0	463
BdenJEL423_SC57_region	5752	915352	159.14	0	463
BdenJEL423_SC58	8484	5396477	636.08	0	4976
BdenJEL423_SC58_region	8484	5396477	636.08	0	4976
BdenJEL423_SC59	5694	600799	105.51	0	259
BdenJEL423_SC59_region	5694	600799	105.51	0	259
BdenJEL423_SC60	5543	201080	36.28	1	87
BdenJEL423_SC60_region	5543	201080	36.28	1	87
BdenJEL423_SC61	5512	421543	76.48	1	131
BdenJEL423_SC61_region	5512	421543	76.48	1	131
BdenJEL423_SC62	5380	341592	63.49	1	145
BdenJEL423_SC62_region	5380	341592	63.49	1	145
BdenJEL423_SC63	5288	196008	37.07	1	92
BdenJEL423_SC63_region	5288	196008	37.07	1	92
BdenJEL423_SC64	5189	323720	62.39	0	122
BdenJEL423_SC64_region	5189	323720	62.39	0	122
BdenJEL423_SC65	5077	4517622	889.82	3	4213
BdenJEL423_SC65_region	5077	4517622	889.82	3	4213
BdenJEL423_SC66	4922	321870	65.39	1	177
BdenJEL423_SC66_region	4922	321870	65.39	1	177
BdenJEL423_SC67	4755	51987	10.93	0	58
BdenJEL423_SC67_region	4755	51987	10.93	0	58
BdenJEL423_SC68	4529	7289324	1609.48	14	4562
BdenJEL423_SC68_region	4529	7289324	1609.48	14	4562
BdenJEL423_SC69	2608	2887544	1107.19	0	2325
BdenJEL423_SC69_region	2608	2887544	1107.19	0	2325
BdenJEL423_mito	175284	181713706	1036.68	0	1723
BdenJEL423_mito_region	175284	181713706	1036.68	0	1723
total	23897668	2338527616	97.86	0	5571
total_region	23897668	2338527616	97.86	0	5571
