chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	673082380	151.59	0	1478
BdenJEL423_SC01_region	4440149	673082380	151.59	0	1478
BdenJEL423_SC02	2313122	440255432	190.33	0	3263
BdenJEL423_SC02_region	2313122	440255432	190.33	0	3263
BdenJEL423_SC03	1829408	338859333	185.23	0	3200
BdenJEL423_SC03_region	1829408	338859333	185.23	0	3200
BdenJEL423_SC04	1803316	272104371	150.89	0	907
BdenJEL423_SC04_region	1803316	272104371	150.89	0	907
BdenJEL423_SC05	1707251	254262926	148.93	0	2136
BdenJEL423_SC05_region	1707251	254262926	148.93	0	2136
BdenJEL423_SC06	1545501	236638636	153.11	0	2856
BdenJEL423_SC06_region	1545501	236638636	153.11	0	2856
BdenJEL423_SC07	1398854	224350634	160.38	0	4400
BdenJEL423_SC07_region	1398854	224350634	160.38	0	4400
BdenJEL423_SC08	1069847	194736501	182.02	0	3923
BdenJEL423_SC08_region	1069847	194736501	182.02	0	3923
BdenJEL423_SC09	1057463	154904621	146.49	0	646
BdenJEL423_SC09_region	1057463	154904621	146.49	0	646
BdenJEL423_SC10	1012305	150540907	148.71	0	2197
BdenJEL423_SC10_region	1012305	150540907	148.71	0	2197
BdenJEL423_SC11	979369	145194548	148.25	0	2012
BdenJEL423_SC11_region	979369	145194548	148.25	0	2012
BdenJEL423_SC12	937107	133415200	142.37	0	1101
BdenJEL423_SC12_region	937107	133415200	142.37	0	1101
BdenJEL423_SC13	898261	142918307	159.11	0	4081
BdenJEL423_SC13_region	898261	142918307	159.11	0	4081
BdenJEL423_SC14	857155	298062961	347.74	0	12404
BdenJEL423_SC14_region	857155	298062961	347.74	0	12404
BdenJEL423_SC15	557602	83831031	150.34	0	1803
BdenJEL423_SC15_region	557602	83831031	150.34	0	1803
BdenJEL423_SC16	498254	70589108	141.67	0	1137
BdenJEL423_SC16_region	498254	70589108	141.67	0	1137
BdenJEL423_SC17	243426	26479868	108.78	0	523
BdenJEL423_SC17_region	243426	26479868	108.78	0	523
BdenJEL423_SC18	48566	10687728	220.07	0	3586
BdenJEL423_SC18_region	48566	10687728	220.07	0	3586
BdenJEL423_SC19	69118	6638061	96.04	0	333
BdenJEL423_SC19_region	69118	6638061	96.04	0	333
BdenJEL423_SC20	45066	4874801	108.17	0	599
BdenJEL423_SC20_region	45066	4874801	108.17	0	599
BdenJEL423_SC21	28371	4147507	146.19	0	247
BdenJEL423_SC21_region	28371	4147507	146.19	0	247
BdenJEL423_SC22	17531	1738395	99.16	3	274
BdenJEL423_SC22_region	17531	1738395	99.16	3	274
BdenJEL423_SC23	15724	6701217	426.18	0	2488
BdenJEL423_SC23_region	15724	6701217	426.18	0	2488
BdenJEL423_SC24	15635	2042626	130.64	0	379
BdenJEL423_SC24_region	15635	2042626	130.64	0	379
BdenJEL423_SC25	13302	2331523	175.28	0	767
BdenJEL423_SC25_region	13302	2331523	175.28	0	767
BdenJEL423_SC26	12287	2250653	183.17	0	608
BdenJEL423_SC26_region	12287	2250653	183.17	0	608
BdenJEL423_SC27	11745	3795205	323.13	0	1488
BdenJEL423_SC27_region	11745	3795205	323.13	0	1488
BdenJEL423_SC28	11715	1496995	127.78	0	378
BdenJEL423_SC28_region	11715	1496995	127.78	0	378
BdenJEL423_SC29	10519	896328	85.21	0	252
BdenJEL423_SC29_region	10519	896328	85.21	0	252
BdenJEL423_SC30	9825	993001	101.07	0	275
BdenJEL423_SC30_region	9825	993001	101.07	0	275
BdenJEL423_SC31	9499	1072185	112.87	0	272
BdenJEL423_SC31_region	9499	1072185	112.87	0	272
BdenJEL423_SC32	9394	2973228	316.50	0	1257
BdenJEL423_SC32_region	9394	2973228	316.50	0	1257
BdenJEL423_SC33	8891	1184720	133.25	1	268
BdenJEL423_SC33_region	8891	1184720	133.25	1	268
BdenJEL423_SC34	8868	1326715	149.61	1	440
BdenJEL423_SC34_region	8868	1326715	149.61	1	440
BdenJEL423_SC35	14477	7739012	534.57	0	2202
BdenJEL423_SC35_region	14477	7739012	534.57	0	2202
BdenJEL423_SC36	8411	1092970	129.95	1	347
BdenJEL423_SC36_region	8411	1092970	129.95	1	347
BdenJEL423_SC37	8246	728730	88.37	0	295
BdenJEL423_SC37_region	8246	728730	88.37	0	295
BdenJEL423_SC38	7919	1071500	135.31	0	293
BdenJEL423_SC38_region	7919	1071500	135.31	0	293
