chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	128602843	28.96	0	85
BdenJEL423_SC01_region	4440149	128602843	28.96	0	85
BdenJEL423_SC02	2313122	68565928	29.64	0	107
BdenJEL423_SC02_region	2313122	68565928	29.64	0	107
BdenJEL423_SC03	1829408	55233629	30.19	0	100
BdenJEL423_SC03_region	1829408	55233629	30.19	0	100
BdenJEL423_SC04	1803316	52322379	29.01	0	94
BdenJEL423_SC04_region	1803316	52322379	29.01	0	94
BdenJEL423_SC05	1707251	54266852	31.79	0	97
BdenJEL423_SC05_region	1707251	54266852	31.79	0	97
BdenJEL423_SC06	1545501	46863745	30.32	0	99
BdenJEL423_SC06_region	1545501	46863745	30.32	0	99
BdenJEL423_SC07	1398854	41320594	29.54	0	98
BdenJEL423_SC07_region	1398854	41320594	29.54	0	98
BdenJEL423_SC08	1069847	31883430	29.80	0	100
BdenJEL423_SC08_region	1069847	31883430	29.80	0	100
BdenJEL423_SC09	1057463	22316045	21.10	0	78
BdenJEL423_SC09_region	1057463	22316045	21.10	0	78
BdenJEL423_SC10	1012305	29886521	29.52	0	90
BdenJEL423_SC10_region	1012305	29886521	29.52	0	90
BdenJEL423_SC11	979369	21793470	22.25	0	98
BdenJEL423_SC11_region	979369	21793470	22.25	0	98
BdenJEL423_SC12	937107	26376440	28.15	0	85
BdenJEL423_SC12_region	937107	26376440	28.15	0	85
BdenJEL423_SC13	898261	27935827	31.10	0	107
BdenJEL423_SC13_region	898261	27935827	31.10	0	107
BdenJEL423_SC14	857155	29623272	34.56	0	104
BdenJEL423_SC14_region	857155	29623272	34.56	0	104
BdenJEL423_SC15	557602	16614573	29.80	0	88
BdenJEL423_SC15_region	557602	16614573	29.80	0	88
BdenJEL423_SC16	498254	11537088	23.16	0	88
BdenJEL423_SC16_region	498254	11537088	23.16	0	88
BdenJEL423_SC17	243426	7385406	30.34	0	83
BdenJEL423_SC17_region	243426	7385406	30.34	0	83
BdenJEL423_SC18	48566	1589252	32.72	0	95
BdenJEL423_SC18_region	48566	1589252	32.72	0	95
BdenJEL423_SC19	69118	1454289	21.04	0	74
BdenJEL423_SC19_region	69118	1454289	21.04	0	74
BdenJEL423_SC20	45066	1543251	34.24	0	72
BdenJEL423_SC20_region	45066	1543251	34.24	0	72
BdenJEL423_SC21	28371	847854	29.88	0	56
BdenJEL423_SC21_region	28371	847854	29.88	0	56
BdenJEL423_SC22	17531	380112	21.68	0	72
BdenJEL423_SC22_region	17531	380112	21.68	0	72
BdenJEL423_SC23	15724	721961	45.91	0	99
BdenJEL423_SC23_region	15724	721961	45.91	0	99
BdenJEL423_SC24	15635	467915	29.93	0	60
BdenJEL423_SC24_region	15635	467915	29.93	0	60
BdenJEL423_SC25	13302	442538	33.27	0	62
BdenJEL423_SC25_region	13302	442538	33.27	0	62
BdenJEL423_SC26	12287	371820	30.26	0	67
BdenJEL423_SC26_region	12287	371820	30.26	0	67
BdenJEL423_SC27	11745	531273	45.23	0	89
BdenJEL423_SC27_region	11745	531273	45.23	0	89
BdenJEL423_SC28	11715	345272	29.47	0	71
BdenJEL423_SC28_region	11715	345272	29.47	0	71
BdenJEL423_SC29	10519	252265	23.98	0	54
BdenJEL423_SC29_region	10519	252265	23.98	0	54
BdenJEL423_SC30	9825	291590	29.68	0	58
BdenJEL423_SC30_region	9825	291590	29.68	0	58
BdenJEL423_SC31	9499	314423	33.10	0	69
BdenJEL423_SC31_region	9499	314423	33.10	0	69
BdenJEL423_SC32	9394	428271	45.59	0	96
BdenJEL423_SC32_region	9394	428271	45.59	0	96
BdenJEL423_SC33	8891	218159	24.54	0	52
BdenJEL423_SC33_region	8891	218159	24.54	0	52
BdenJEL423_SC34	8868	210211	23.70	0	54
BdenJEL423_SC34_region	8868	210211	23.70	0	54
BdenJEL423_SC35	14477	531492	36.71	0	100
BdenJEL423_SC35_region	14477	531492	36.71	0	100
BdenJEL423_SC36	8411	242780	28.86	0	61
BdenJEL423_SC36_region	8411	242780	28.86	0	61
BdenJEL423_SC37	8246	206872	25.09	0	59
BdenJEL423_SC37_region	8246	206872	25.09	0	59
BdenJEL423_SC38	7919	221599	27.98	1	59
BdenJEL423_SC38_region	7919	221599	27.98	1	59
BdenJEL423_SC39	7486	300740	40.17	0	95
BdenJEL423_SC39_region	7486	300740	40.17	0	95
BdenJEL423_SC40	7373	93380	12.67	0	38
BdenJEL423_SC40_region	7373	93380	12.67	0	38
BdenJEL423_SC41	7250	655044	90.35	2	100
BdenJEL423_SC41_region	7250	655044	90.35	2	100
BdenJEL423_SC42	7213	209719	29.08	0	53
BdenJEL423_SC42_region	7213	209719	29.08	0	53
BdenJEL423_SC43	7203	203953	28.32	0	52
BdenJEL423_SC43_region	7203	203953	28.32	0	52
BdenJEL423_SC44	7151	178217	24.92	0	60
BdenJEL423_SC44_region	7151	178217	24.92	0	60
BdenJEL423_SC45	7120	221707	31.14	0	55
BdenJEL423_SC45_region	7120	221707	31.14	0	55
BdenJEL423_SC46	7014	183921	26.22	0	66
BdenJEL423_SC46_region	7014	183921	26.22	0	66
BdenJEL423_SC47	6856	329192	48.02	0	92
BdenJEL423_SC47_region	6856	329192	48.02	0	92
BdenJEL423_SC48	6834	237223	34.71	0	72
BdenJEL423_SC48_region	6834	237223	34.71	0	72
BdenJEL423_SC49	6519	388712	59.63	0	97
BdenJEL423_SC49_region	6519	388712	59.63	0	97
BdenJEL423_SC50	6174	153759	24.90	0	58
BdenJEL423_SC50_region	6174	153759	24.90	0	58
BdenJEL423_SC51	6095	340429	55.85	0	97
BdenJEL423_SC51_region	6095	340429	55.85	0	97
BdenJEL423_SC52	6071	141605	23.32	0	54
BdenJEL423_SC52_region	6071	141605	23.32	0	54
BdenJEL423_SC53	6016	414026	68.82	0	99
BdenJEL423_SC53_region	6016	414026	68.82	0	99
BdenJEL423_SC54	5992	365997	61.08	0	99
BdenJEL423_SC54_region	5992	365997	61.08	0	99
BdenJEL423_SC55	5977	163862	27.42	0	56
BdenJEL423_SC55_region	5977	163862	27.42	0	56
BdenJEL423_SC56	5808	184578	31.78	0	74
BdenJEL423_SC56_region	5808	184578	31.78	0	74
BdenJEL423_SC57	5752	280227	48.72	0	94
BdenJEL423_SC57_region	5752	280227	48.72	0	94
BdenJEL423_SC58	8484	441526	52.04	0	105
BdenJEL423_SC58_region	8484	441526	52.04	0	105
BdenJEL423_SC59	5694	182123	31.99	0	72
BdenJEL423_SC59_region	5694	182123	31.99	0	72
BdenJEL423_SC60	5543	150125	27.08	0	58
BdenJEL423_SC60_region	5543	150125	27.08	0	58
BdenJEL423_SC61	5512	171366	31.09	0	61
BdenJEL423_SC61_region	5512	171366	31.09	0	61
BdenJEL423_SC62	5380	113496	21.10	1	47
BdenJEL423_SC62_region	5380	113496	21.10	1	47
BdenJEL423_SC63	5288	106771	20.19	0	50
BdenJEL423_SC63_region	5288	106771	20.19	0	50
BdenJEL423_SC64	5189	158991	30.64	0	63
BdenJEL423_SC64_region	5189	158991	30.64	0	63
BdenJEL423_SC65	5077	373839	73.63	0	101
BdenJEL423_SC65_region	5077	373839	73.63	0	101
BdenJEL423_SC66	4922	122744	24.94	0	71
BdenJEL423_SC66_region	4922	122744	24.94	0	71
BdenJEL423_SC67	4755	79373	16.69	0	50
BdenJEL423_SC67_region	4755	79373	16.69	0	50
BdenJEL423_SC68	4529	366698	80.97	1	100
BdenJEL423_SC68_region	4529	366698	80.97	1	100
BdenJEL423_SC69	2608	182174	69.85	0	100
BdenJEL423_SC69_region	2608	182174	69.85	0	100
BdenJEL423_mito	175284	15629252	89.17	0	110
BdenJEL423_mito_region	175284	15629252	89.17	0	110
total	23897668	707266010	29.60	0	110
total_region	23897668	707266010	29.60	0	110
