chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	52164522	11.75	0	252
BdenJEL423_SC01_region	4440149	52164522	11.75	0	252
BdenJEL423_SC02	2313122	30477718	13.18	0	450
BdenJEL423_SC02_region	2313122	30477718	13.18	0	450
BdenJEL423_SC03	1829408	28265663	15.45	0	499
BdenJEL423_SC03_region	1829408	28265663	15.45	0	499
BdenJEL423_SC04	1803316	21293115	11.81	0	399
BdenJEL423_SC04_region	1803316	21293115	11.81	0	399
BdenJEL423_SC05	1707251	25359522	14.85	0	389
BdenJEL423_SC05_region	1707251	25359522	14.85	0	389
BdenJEL423_SC06	1545501	19785504	12.80	0	477
BdenJEL423_SC06_region	1545501	19785504	12.80	0	477
BdenJEL423_SC07	1398854	16524022	11.81	0	349
BdenJEL423_SC07_region	1398854	16524022	11.81	0	349
BdenJEL423_SC08	1069847	16492432	15.42	0	625
BdenJEL423_SC08_region	1069847	16492432	15.42	0	625
BdenJEL423_SC09	1057463	12241220	11.58	0	66
BdenJEL423_SC09_region	1057463	12241220	11.58	0	66
BdenJEL423_SC10	1012305	12169785	12.02	0	511
BdenJEL423_SC10_region	1012305	12169785	12.02	0	511
BdenJEL423_SC11	979369	10971121	11.20	0	267
BdenJEL423_SC11_region	979369	10971121	11.20	0	267
BdenJEL423_SC12	937107	13099271	13.98	0	85
BdenJEL423_SC12_region	937107	13099271	13.98	0	85
BdenJEL423_SC13	898261	11672710	12.99	0	691
BdenJEL423_SC13_region	898261	11672710	12.99	0	691
BdenJEL423_SC14	857155	49973098	58.30	0	2262
BdenJEL423_SC14_region	857155	49973098	58.30	0	2262
BdenJEL423_SC15	557602	6817047	12.23	0	813
BdenJEL423_SC15_region	557602	6817047	12.23	0	813
BdenJEL423_SC16	498254	5691995	11.42	0	124
BdenJEL423_SC16_region	498254	5691995	11.42	0	124
BdenJEL423_SC17	243426	3067595	12.60	0	154
BdenJEL423_SC17_region	243426	3067595	12.60	0	154
BdenJEL423_SC18	48566	1406647	28.96	0	589
BdenJEL423_SC18_region	48566	1406647	28.96	0	589
BdenJEL423_SC19	69118	529973	7.67	0	35
BdenJEL423_SC19_region	69118	529973	7.67	0	35
BdenJEL423_SC20	45066	719890	15.97	0	63
BdenJEL423_SC20_region	45066	719890	15.97	0	63
BdenJEL423_SC21	28371	281845	9.93	0	28
BdenJEL423_SC21_region	28371	281845	9.93	0	28
BdenJEL423_SC22	17531	228440	13.03	0	50
BdenJEL423_SC22_region	17531	228440	13.03	0	50
BdenJEL423_SC23	15724	814417	51.79	0	208
BdenJEL423_SC23_region	15724	814417	51.79	0	208
BdenJEL423_SC24	15635	164718	10.54	0	33
BdenJEL423_SC24_region	15635	164718	10.54	0	33
BdenJEL423_SC25	13302	155414	11.68	0	48
BdenJEL423_SC25_region	13302	155414	11.68	0	48
BdenJEL423_SC26	12287	163503	13.31	0	48
BdenJEL423_SC26_region	12287	163503	13.31	0	48
BdenJEL423_SC27	11745	557031	47.43	0	225
BdenJEL423_SC27_region	11745	557031	47.43	0	225
BdenJEL423_SC28	11715	156986	13.40	0	43
BdenJEL423_SC28_region	11715	156986	13.40	0	43
BdenJEL423_SC29	10519	93761	8.91	0	26
BdenJEL423_SC29_region	10519	93761	8.91	0	26
BdenJEL423_SC30	9825	86851	8.84	0	26
BdenJEL423_SC30_region	9825	86851	8.84	0	26
BdenJEL423_SC31	9499	121401	12.78	0	44
BdenJEL423_SC31_region	9499	121401	12.78	0	44
BdenJEL423_SC32	9394	383859	40.86	0	222
BdenJEL423_SC32_region	9394	383859	40.86	0	222
BdenJEL423_SC33	8891	115069	12.94	0	36
BdenJEL423_SC33_region	8891	115069	12.94	0	36
BdenJEL423_SC34	8868	53776	6.06	0	47
BdenJEL423_SC34_region	8868	53776	6.06	0	47
BdenJEL423_SC35	14477	1408143	97.27	0	893
BdenJEL423_SC35_region	14477	1408143	97.27	0	893
BdenJEL423_SC36	8411	99553	11.84	0	36
BdenJEL423_SC36_region	8411	99553	11.84	0	36
BdenJEL423_SC37	8246	86116	10.44	0	41
BdenJEL423_SC37_region	8246	86116	10.44	0	41
BdenJEL423_SC38	7919	89745	11.33	0	41
BdenJEL423_SC38_region	7919	89745	11.33	0	41
BdenJEL423_SC39	7486	278903	37.26	0	229
BdenJEL423_SC39_region	7486	278903	37.26	0	229
BdenJEL423_SC40	7373	108874	14.77	1	48
BdenJEL423_SC40_region	7373	108874	14.77	1	48
BdenJEL423_SC41	7250	682712	94.17	0	246
BdenJEL423_SC41_region	7250	682712	94.17	0	246
BdenJEL423_SC42	7213	58498	8.11	0	35
BdenJEL423_SC42_region	7213	58498	8.11	0	35
BdenJEL423_SC43	7203	77666	10.78	0	31
BdenJEL423_SC43_region	7203	77666	10.78	0	31
BdenJEL423_SC44	7151	83061	11.62	0	27
BdenJEL423_SC44_region	7151	83061	11.62	0	27
BdenJEL423_SC45	7120	108176	15.19	0	31
BdenJEL423_SC45_region	7120	108176	15.19	0	31
BdenJEL423_SC46	7014	63033	8.99	0	26
BdenJEL423_SC46_region	7014	63033	8.99	0	26
BdenJEL423_SC47	6856	580786	84.71	0	280
BdenJEL423_SC47_region	6856	580786	84.71	0	280
BdenJEL423_SC48	6834	80118	11.72	0	39
BdenJEL423_SC48_region	6834	80118	11.72	0	39
BdenJEL423_SC49	6519	870728	133.57	0	331
BdenJEL423_SC49_region	6519	870728	133.57	0	331
BdenJEL423_SC50	6174	86883	14.07	0	36
BdenJEL423_SC50_region	6174	86883	14.07	0	36
BdenJEL423_SC51	6095	1546537	253.74	0	1350
BdenJEL423_SC51_region	6095	1546537	253.74	0	1350
BdenJEL423_SC52	6071	36353	5.99	0	21
BdenJEL423_SC52_region	6071	36353	5.99	0	21
BdenJEL423_SC53	6016	2304701	383.10	0	1226
BdenJEL423_SC53_region	6016	2304701	383.10	0	1226
BdenJEL423_SC54	5992	1568470	261.76	0	872
BdenJEL423_SC54_region	5992	1568470	261.76	0	872
BdenJEL423_SC55	5977	34508	5.77	0	13
BdenJEL423_SC55_region	5977	34508	5.77	0	13
BdenJEL423_SC56	5808	97851	16.85	0	43
BdenJEL423_SC56_region	5808	97851	16.85	0	43
BdenJEL423_SC57	5752	923213	160.50	0	664
BdenJEL423_SC57_region	5752	923213	160.50	0	664
BdenJEL423_SC58	8484	1230050	144.98	0	1430
BdenJEL423_SC58_region	8484	1230050	144.98	0	1430
BdenJEL423_SC59	5694	111885	19.65	0	66
