chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	784902296	176.77	0	1704
BdenJEL423_SC01_region	4440149	784902296	176.77	0	1704
BdenJEL423_SC02	2313122	601342436	259.97	0	10342
BdenJEL423_SC02_region	2313122	601342436	259.97	0	10342
BdenJEL423_SC03	1829408	330255636	180.53	0	9705
BdenJEL423_SC03_region	1829408	330255636	180.53	0	9705
BdenJEL423_SC04	1803316	318738075	176.75	0	1094
BdenJEL423_SC04_region	1803316	318738075	176.75	0	1094
BdenJEL423_SC05	1707251	429772663	251.73	0	3423
BdenJEL423_SC05_region	1707251	429772663	251.73	0	3423
BdenJEL423_SC06	1545501	280956268	181.79	0	4143
BdenJEL423_SC06_region	1545501	280956268	181.79	0	4143
BdenJEL423_SC07	1398854	251531650	179.81	0	8437
BdenJEL423_SC07_region	1398854	251531650	179.81	0	8437
BdenJEL423_SC08	1069847	193776301	181.13	0	9773
BdenJEL423_SC08_region	1069847	193776301	181.13	0	9773
BdenJEL423_SC09	1057463	184424238	174.40	0	1051
BdenJEL423_SC09_region	1057463	184424238	174.40	0	1051
BdenJEL423_SC10	1012305	184493495	182.25	0	3728
BdenJEL423_SC10_region	1012305	184493495	182.25	0	3728
BdenJEL423_SC11	979369	174663619	178.34	0	3148
BdenJEL423_SC11_region	979369	174663619	178.34	0	3148
BdenJEL423_SC12	937107	159771053	170.49	0	1008
BdenJEL423_SC12_region	937107	159771053	170.49	0	1008
BdenJEL423_SC13	898261	170177020	189.45	0	4732
BdenJEL423_SC13_region	898261	170177020	189.45	0	4732
BdenJEL423_SC14	857155	257464725	300.37	0	35858
BdenJEL423_SC14_region	857155	257464725	300.37	0	35858
BdenJEL423_SC15	557602	101886360	182.72	0	1038
BdenJEL423_SC15_region	557602	101886360	182.72	0	1038
BdenJEL423_SC16	498254	83907677	168.40	0	1462
BdenJEL423_SC16_region	498254	83907677	168.40	0	1462
BdenJEL423_SC17	243426	42216789	173.43	0	1143
BdenJEL423_SC17_region	243426	42216789	173.43	0	1143
BdenJEL423_SC18	48566	9842730	202.67	0	2952
BdenJEL423_SC18_region	48566	9842730	202.67	0	2952
BdenJEL423_SC19	69118	7024788	101.63	0	1146
BdenJEL423_SC19_region	69118	7024788	101.63	0	1146
BdenJEL423_SC20	45066	8410073	186.62	0	1485
BdenJEL423_SC20_region	45066	8410073	186.62	0	1485
BdenJEL423_SC21	28371	5004687	176.40	4	312
BdenJEL423_SC21_region	28371	5004687	176.40	4	312
BdenJEL423_SC22	17531	2838362	161.91	0	976
BdenJEL423_SC22_region	17531	2838362	161.91	0	976
BdenJEL423_SC23	15724	6446649	409.99	0	2650
BdenJEL423_SC23_region	15724	6446649	409.99	0	2650
BdenJEL423_SC24	15635	3195797	204.40	0	706
BdenJEL423_SC24_region	15635	3195797	204.40	0	706
BdenJEL423_SC25	13302	2372510	178.36	0	878
BdenJEL423_SC25_region	13302	2372510	178.36	0	878
BdenJEL423_SC26	12287	1883338	153.28	0	706
BdenJEL423_SC26_region	12287	1883338	153.28	0	706
BdenJEL423_SC27	11745	8167483	695.40	0	7832
BdenJEL423_SC27_region	11745	8167483	695.40	0	7832
BdenJEL423_SC28	11715	1821982	155.53	0	511
BdenJEL423_SC28_region	11715	1821982	155.53	0	511
BdenJEL423_SC29	10519	2238266	212.78	0	1200
BdenJEL423_SC29_region	10519	2238266	212.78	0	1200
BdenJEL423_SC30	9825	1335035	135.88	0	594
BdenJEL423_SC30_region	9825	1335035	135.88	0	594
BdenJEL423_SC31	9499	1511899	159.16	0	775
BdenJEL423_SC31_region	9499	1511899	159.16	0	775
BdenJEL423_SC32	9394	2482304	264.24	0	1990
BdenJEL423_SC32_region	9394	2482304	264.24	0	1990
BdenJEL423_SC33	8891	1845730	207.60	0	554
BdenJEL423_SC33_region	8891	1845730	207.60	0	554
BdenJEL423_SC34	8868	1295598	146.10	0	621
BdenJEL423_SC34_region	8868	1295598	146.10	0	621
BdenJEL423_SC35	14477	9533876	658.55	0	6446
BdenJEL423_SC35_region	14477	9533876	658.55	0	6446
BdenJEL423_SC36	8411	1863847	221.60	0	1017
BdenJEL423_SC36_region	8411	1863847	221.60	0	1017
BdenJEL423_SC37	8246	1045883	126.84	0	416
BdenJEL423_SC37_region	8246	1045883	126.84	0	416
BdenJEL423_SC38	7919	1260720	159.20	0	638
BdenJEL423_SC38_region	7919	1260720	159.20	0	638
BdenJEL423_SC39	7486	2038614	272.32	0	4524
BdenJEL423_SC39_region	7486	2038614	272.32	0	4524
BdenJEL423_SC40	7373	545942	74.05	0	310
BdenJEL423_SC40_region	7373	545942	74.05	0	310
BdenJEL423_SC41	7250	6010363	829.02	0	3504
BdenJEL423_SC41_region	7250	6010363	829.02	0	3504
BdenJEL423_SC42	7213	773897	107.29	0	315
BdenJEL423_SC42_region	7213	773897	107.29	0	315
BdenJEL423_SC43	7203	627093	87.06	0	423
BdenJEL423_SC43_region	7203	627093	87.06	0	423
BdenJEL423_SC44	7151	936872	131.01	0	794
BdenJEL423_SC44_region	7151	936872	131.01	0	794
BdenJEL423_SC45	7120	1568680	220.32	0	717
BdenJEL423_SC45_region	7120	1568680	220.32	0	717
BdenJEL423_SC46	7014	800301	114.10	0	286
BdenJEL423_SC46_region	7014	800301	114.10	0	286
BdenJEL423_SC47	6856	4168776	608.05	0	5912
BdenJEL423_SC47_region	6856	4168776	608.05	0	5912
BdenJEL423_SC48	6834	625836	91.58	0	354
BdenJEL423_SC48_region	6834	625836	91.58	0	354
BdenJEL423_SC49	6519	3358712	515.22	0	7812
BdenJEL423_SC49_region	6519	3358712	515.22	0	7812
BdenJEL423_SC50	6174	867343	140.48	0	656
BdenJEL423_SC50_region	6174	867343	140.48	0	656
BdenJEL423_SC51	6095	3494578	573.35	0	4487
BdenJEL423_SC51_region	6095	3494578	573.35	0	4487
BdenJEL423_SC52	6071	650327	107.12	0	453
BdenJEL423_SC52_region	6071	650327	107.12	0	453
BdenJEL423_SC53	6016	1664830	276.73	0	3318
BdenJEL423_SC53_region	6016	1664830	276.73	0	3318
BdenJEL423_SC54	5992	2472233	412.59	0	2833
BdenJEL423_SC54_region	5992	2472233	412.59	0	2833
BdenJEL423_SC55	5977	794702	132.96	0	540
BdenJEL423_SC55_region	5977	794702	132.96	0	540
BdenJEL423_SC56	5808	1238128	213.18	0	826
BdenJEL423_SC56_region	5808	1238128	213.18	0	826
BdenJEL423_SC57	5752	3693546	642.13	0	5091
BdenJEL423_SC57_region	5752	3693546	642.13	0	5091
BdenJEL423_SC58	8484	9688774	1142.01	0	9354
BdenJEL423_SC58_region	8484	9688774	1142.01	0	9354
BdenJEL423_SC59	5694	1500964	263.60	7	687
BdenJEL423_SC59_region	5694	1500964	263.60	7	687
BdenJEL423_SC60	5543	482047	86.97	0	397
BdenJEL423_SC60_region	5543	482047	86.97	0	397
BdenJEL423_SC61	5512	989457	179.51	0	804
BdenJEL423_SC61_region	5512	989457	179.51	0	804
BdenJEL423_SC62	5380	592915	110.21	0	924
BdenJEL423_SC62_region	5380	592915	110.21	0	924
BdenJEL423_SC63	5288	564061	106.67	0	482
BdenJEL423_SC63_region	5288	564061	106.67	0	482
BdenJEL423_SC64	5189	962756	185.54	0	501
BdenJEL423_SC64_region	5189	962756	185.54	0	501
BdenJEL423_SC65	5077	5334965	1050.81	0	3201
BdenJEL423_SC65_region	5077	5334965	1050.81	0	3201
BdenJEL423_SC66	4922	526568	106.98	0	437
BdenJEL423_SC66_region	4922	526568	106.98	0	437
BdenJEL423_SC67	4755	664346	139.72	0	425
BdenJEL423_SC67_region	4755	664346	139.72	0	425
BdenJEL423_SC68	4529	3725287	822.54	0	3974
BdenJEL423_SC68_region	4529	3725287	822.54	0	3974
BdenJEL423_SC69	2608	2361436	905.46	0	5477
BdenJEL423_SC69_region	2608	2361436	905.46	0	5477
BdenJEL423_mito	175284	185503911	1058.30	0	2736
BdenJEL423_mito_region	175284	185503911	1058.30	0	2736
total	23897668	4880930118	204.24	0	35858
total_region	23897668	4880930118	204.24	0	35858
