chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	388725848	87.55	0	4809
BdenJEL423_SC01_region	4440149	388725848	87.55	0	4809
BdenJEL423_SC02	2313122	308605619	133.42	0	5223
BdenJEL423_SC02_region	2313122	308605619	133.42	0	5223
BdenJEL423_SC03	1829408	210845326	115.25	0	3924
BdenJEL423_SC03_region	1829408	210845326	115.25	0	3924
BdenJEL423_SC04	1803316	157391967	87.28	0	739
BdenJEL423_SC04_region	1803316	157391967	87.28	0	739
BdenJEL423_SC05	1707251	227144617	133.05	0	4502
BdenJEL423_SC05_region	1707251	227144617	133.05	0	4502
BdenJEL423_SC06	1545501	138726739	89.76	0	3467
BdenJEL423_SC06_region	1545501	138726739	89.76	0	3467
BdenJEL423_SC07	1398854	135009126	96.51	0	3771
BdenJEL423_SC07_region	1398854	135009126	96.51	0	3771
BdenJEL423_SC08	1069847	98619823	92.18	0	4583
BdenJEL423_SC08_region	1069847	98619823	92.18	0	4583
BdenJEL423_SC09	1057463	87904216	83.13	0	686
BdenJEL423_SC09_region	1057463	87904216	83.13	0	686
BdenJEL423_SC10	1012305	95392677	94.23	0	2578
BdenJEL423_SC10_region	1012305	95392677	94.23	0	2578
BdenJEL423_SC11	979369	85357261	87.16	0	707
BdenJEL423_SC11_region	979369	85357261	87.16	0	707
BdenJEL423_SC12	937107	98034868	104.61	0	950
BdenJEL423_SC12_region	937107	98034868	104.61	0	950
BdenJEL423_SC13	898261	99608987	110.89	0	13339
BdenJEL423_SC13_region	898261	99608987	110.89	0	13339
BdenJEL423_SC14	857155	144612575	168.71	0	4049
BdenJEL423_SC14_region	857155	144612575	168.71	0	4049
BdenJEL423_SC15	557602	53302552	95.59	0	790
BdenJEL423_SC15_region	557602	53302552	95.59	0	790
BdenJEL423_SC16	498254	44268558	88.85	0	1045
BdenJEL423_SC16_region	498254	44268558	88.85	0	1045
BdenJEL423_SC17	243426	20120375	82.65	0	449
BdenJEL423_SC17_region	243426	20120375	82.65	0	449
BdenJEL423_SC18	48566	6317218	130.07	0	1799
BdenJEL423_SC18_region	48566	6317218	130.07	0	1799
BdenJEL423_SC19	69118	3884484	56.20	0	657
BdenJEL423_SC19_region	69118	3884484	56.20	0	657
BdenJEL423_SC20	45066	5665055	125.71	0	694
BdenJEL423_SC20_region	45066	5665055	125.71	0	694
BdenJEL423_SC21	28371	2304780	81.24	1	176
BdenJEL423_SC21_region	28371	2304780	81.24	1	176
BdenJEL423_SC22	17531	1144907	65.31	0	504
BdenJEL423_SC22_region	17531	1144907	65.31	0	504
BdenJEL423_SC23	15724	4379663	278.53	0	2204
BdenJEL423_SC23_region	15724	4379663	278.53	0	2204
BdenJEL423_SC24	15635	1373289	87.83	0	493
BdenJEL423_SC24_region	15635	1373289	87.83	0	493
BdenJEL423_SC25	13302	1692753	127.26	0	692
BdenJEL423_SC25_region	13302	1692753	127.26	0	692
BdenJEL423_SC26	12287	1474455	120.00	0	360
BdenJEL423_SC26_region	12287	1474455	120.00	0	360
BdenJEL423_SC27	11745	2692625	229.26	0	1681
BdenJEL423_SC27_region	11745	2692625	229.26	0	1681
BdenJEL423_SC28	11715	865373	73.87	0	255
BdenJEL423_SC28_region	11715	865373	73.87	0	255
BdenJEL423_SC29	10519	841106	79.96	0	483
BdenJEL423_SC29_region	10519	841106	79.96	0	483
BdenJEL423_SC30	9825	1060917	107.98	0	507
BdenJEL423_SC30_region	9825	1060917	107.98	0	507
BdenJEL423_SC31	9499	580337	61.09	0	447
BdenJEL423_SC31_region	9499	580337	61.09	0	447
BdenJEL423_SC32	9394	2365705	251.83	0	1902
BdenJEL423_SC32_region	9394	2365705	251.83	0	1902
BdenJEL423_SC33	8891	944279	106.21	1	246
BdenJEL423_SC33_region	8891	944279	106.21	1	246
BdenJEL423_SC34	8868	713643	80.47	0	335
BdenJEL423_SC34_region	8868	713643	80.47	0	335
BdenJEL423_SC35	14477	4218998	291.43	0	3002
BdenJEL423_SC35_region	14477	4218998	291.43	0	3002
BdenJEL423_SC36	8411	775611	92.21	0	371
BdenJEL423_SC36_region	8411	775611	92.21	0	371
BdenJEL423_SC37	8246	572684	69.45	0	520
BdenJEL423_SC37_region	8246	572684	69.45	0	520
BdenJEL423_SC38	7919	660807	83.45	0	367
BdenJEL423_SC38_region	7919	660807	83.45	0	367
BdenJEL423_SC39	7486	1954515	261.09	0	2949
BdenJEL423_SC39_region	7486	1954515	261.09	0	2949
BdenJEL423_SC40	7373	388383	52.68	0	250
BdenJEL423_SC40_region	7373	388383	52.68	0	250
BdenJEL423_SC41	7250	4540231	626.24	0	2036
BdenJEL423_SC41_region	7250	4540231	626.24	0	2036
BdenJEL423_SC42	7213	460872	63.89	0	202
BdenJEL423_SC42_region	7213	460872	63.89	0	202
BdenJEL423_SC43	7203	309377	42.95	0	202
BdenJEL423_SC43_region	7203	309377	42.95	0	202
BdenJEL423_SC44	7151	945340	132.20	0	751
BdenJEL423_SC44_region	7151	945340	132.20	0	751
BdenJEL423_SC45	7120	697014	97.90	0	434
BdenJEL423_SC45_region	7120	697014	97.90	0	434
BdenJEL423_SC46	7014	393417	56.09	0	270
BdenJEL423_SC46_region	7014	393417	56.09	0	270
BdenJEL423_SC47	6856	1769716	258.13	0	1138
BdenJEL423_SC47_region	6856	1769716	258.13	0	1138
BdenJEL423_SC48	6834	1124366	164.53	0	459
BdenJEL423_SC48_region	6834	1124366	164.53	0	459
BdenJEL423_SC49	6519	3534472	542.18	0	3321
BdenJEL423_SC49_region	6519	3534472	542.18	0	3321
BdenJEL423_SC50	6174	354553	57.43	0	307
BdenJEL423_SC50_region	6174	354553	57.43	0	307
BdenJEL423_SC51	6095	3253521	533.80	0	2024
BdenJEL423_SC51_region	6095	3253521	533.80	0	2024
BdenJEL423_SC52	6071	474266	78.12	0	253
BdenJEL423_SC52_region	6071	474266	78.12	0	253
BdenJEL423_SC53	6016	1431892	238.01	0	1404
BdenJEL423_SC53_region	6016	1431892	238.01	0	1404
BdenJEL423_SC54	5992	5030975	839.62	0	4893
BdenJEL423_SC54_region	5992	5030975	839.62	0	4893
BdenJEL423_SC55	5977	380826	63.72	0	263
BdenJEL423_SC55_region	5977	380826	63.72	0	263
BdenJEL423_SC56	5808	450950	77.64	0	450
BdenJEL423_SC56_region	5808	450950	77.64	0	450
BdenJEL423_SC57	5752	2677094	465.42	0	3473
BdenJEL423_SC57_region	5752	2677094	465.42	0	3473
BdenJEL423_SC58	8484	6177861	728.18	0	4489
BdenJEL423_SC58_region	8484	6177861	728.18	0	4489
BdenJEL423_SC59	5694	905612	159.05	0	570
BdenJEL423_SC59_region	5694	905612	159.05	0	570
BdenJEL423_SC60	5543	329750	59.49	1	133
BdenJEL423_SC60_region	5543	329750	59.49	1	133
BdenJEL423_SC61	5512	462144	83.84	0	365
BdenJEL423_SC61_region	5512	462144	83.84	0	365
BdenJEL423_SC62	5380	305793	56.84	0	411
BdenJEL423_SC62_region	5380	305793	56.84	0	411
BdenJEL423_SC63	5288	224787	42.51	0	251
BdenJEL423_SC63_region	5288	224787	42.51	0	251
BdenJEL423_SC64	5189	504744	97.27	0	234
BdenJEL423_SC64_region	5189	504744	97.27	0	234
BdenJEL423_SC65	5077	3748222	738.27	0	2750
BdenJEL423_SC65_region	5077	3748222	738.27	0	2750
BdenJEL423_SC66	4922	328905	66.82	0	413
BdenJEL423_SC66_region	4922	328905	66.82	0	413
BdenJEL423_SC67	4755	299370	62.96	0	173
BdenJEL423_SC67_region	4755	299370	62.96	0	173
BdenJEL423_SC68	4529	1833329	404.80	4	2233
BdenJEL423_SC68_region	4529	1833329	404.80	4	2233
BdenJEL423_SC69	2608	527101	202.11	0	1277
BdenJEL423_SC69_region	2608	527101	202.11	0	1277
BdenJEL423_mito	175284	192812701	1100.00	0	3123
BdenJEL423_mito_region	175284	192812701	1100.00	0	3123
total	23897668	2676831922	112.01	0	13339
total_region	23897668	2676831922	112.01	0	13339
