chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	174506401	39.30	0	203
BdenJEL423_SC01_region	4440149	174506401	39.30	0	203
BdenJEL423_SC02	2313122	115244748	49.82	0	961
BdenJEL423_SC02_region	2313122	115244748	49.82	0	961
BdenJEL423_SC03	1829408	90604241	49.53	0	1298
BdenJEL423_SC03_region	1829408	90604241	49.53	0	1298
BdenJEL423_SC04	1803316	70817187	39.27	0	164
BdenJEL423_SC04_region	1803316	70817187	39.27	0	164
BdenJEL423_SC05	1707251	77546073	45.42	0	868
BdenJEL423_SC05_region	1707251	77546073	45.42	0	868
BdenJEL423_SC06	1545501	63551696	41.12	0	657
BdenJEL423_SC06_region	1545501	63551696	41.12	0	657
BdenJEL423_SC07	1398854	58375083	41.73	0	367
BdenJEL423_SC07_region	1398854	58375083	41.73	0	367
BdenJEL423_SC08	1069847	49920410	46.66	0	594
BdenJEL423_SC08_region	1069847	49920410	46.66	0	594
BdenJEL423_SC09	1057463	40876484	38.66	0	147
BdenJEL423_SC09_region	1057463	40876484	38.66	0	147
BdenJEL423_SC10	1012305	47169293	46.60	0	214
BdenJEL423_SC10_region	1012305	47169293	46.60	0	214
BdenJEL423_SC11	979369	38639193	39.45	0	341
BdenJEL423_SC11_region	979369	38639193	39.45	0	341
BdenJEL423_SC12	937107	36645333	39.10	0	188
BdenJEL423_SC12_region	937107	36645333	39.10	0	188
BdenJEL423_SC13	898261	38566688	42.93	0	1116
BdenJEL423_SC13_region	898261	38566688	42.93	0	1116
BdenJEL423_SC14	857155	61662971	71.94	0	1651
BdenJEL423_SC14_region	857155	61662971	71.94	0	1651
BdenJEL423_SC15	557602	22415461	40.20	0	288
BdenJEL423_SC15_region	557602	22415461	40.20	0	288
BdenJEL423_SC16	498254	19935849	40.01	0	207
BdenJEL423_SC16_region	498254	19935849	40.01	0	207
BdenJEL423_SC17	243426	9590713	39.40	0	112
BdenJEL423_SC17_region	243426	9590713	39.40	0	112
BdenJEL423_SC18	48566	2134638	43.95	0	531
BdenJEL423_SC18_region	48566	2134638	43.95	0	531
BdenJEL423_SC19	69118	1836917	26.58	0	80
BdenJEL423_SC19_region	69118	1836917	26.58	0	80
BdenJEL423_SC20	45066	2214804	49.15	0	159
BdenJEL423_SC20_region	45066	2214804	49.15	0	159
BdenJEL423_SC21	28371	1114428	39.28	0	69
BdenJEL423_SC21_region	28371	1114428	39.28	0	69
BdenJEL423_SC22	17531	503505	28.72	0	103
BdenJEL423_SC22_region	17531	503505	28.72	0	103
BdenJEL423_SC23	15724	1364526	86.78	0	408
BdenJEL423_SC23_region	15724	1364526	86.78	0	408
BdenJEL423_SC24	15635	530956	33.96	0	95
BdenJEL423_SC24_region	15635	530956	33.96	0	95
BdenJEL423_SC25	13302	709615	53.35	0	220
BdenJEL423_SC25_region	13302	709615	53.35	0	220
BdenJEL423_SC26	12287	553145	45.02	1	168
BdenJEL423_SC26_region	12287	553145	45.02	1	168
BdenJEL423_SC27	11745	792204	67.45	0	210
BdenJEL423_SC27_region	11745	792204	67.45	0	210
BdenJEL423_SC28	11715	423508	36.15	0	87
BdenJEL423_SC28_region	11715	423508	36.15	0	87
BdenJEL423_SC29	10519	270611	25.73	0	83
BdenJEL423_SC29_region	10519	270611	25.73	0	83
BdenJEL423_SC30	9825	270980	27.58	0	62
BdenJEL423_SC30_region	9825	270980	27.58	0	62
BdenJEL423_SC31	9499	391828	41.25	0	81
BdenJEL423_SC31_region	9499	391828	41.25	0	81
BdenJEL423_SC32	9394	567034	60.36	0	172
BdenJEL423_SC32_region	9394	567034	60.36	0	172
BdenJEL423_SC33	8891	326410	36.71	0	61
BdenJEL423_SC33_region	8891	326410	36.71	0	61
BdenJEL423_SC34	8868	243977	27.51	0	71
BdenJEL423_SC34_region	8868	243977	27.51	0	71
BdenJEL423_SC35	14477	1276489	88.17	0	993
BdenJEL423_SC35_region	14477	1276489	88.17	0	993
BdenJEL423_SC36	8411	276425	32.86	0	85
BdenJEL423_SC36_region	8411	276425	32.86	0	85
BdenJEL423_SC37	8246	202048	24.50	0	53
BdenJEL423_SC37_region	8246	202048	24.50	0	53
BdenJEL423_SC38	7919	254360	32.12	0	54
BdenJEL423_SC38_region	7919	254360	32.12	0	54
BdenJEL423_SC39	7486	296269	39.58	0	131
BdenJEL423_SC39_region	7486	296269	39.58	0	131
BdenJEL423_SC40	7373	54803	7.43	0	34
BdenJEL423_SC40_region	7373	54803	7.43	0	34
BdenJEL423_SC41	7250	6257263	863.07	1	1284
BdenJEL423_SC41_region	7250	6257263	863.07	1	1284
BdenJEL423_SC42	7213	315949	43.80	0	95
BdenJEL423_SC42_region	7213	315949	43.80	0	95
BdenJEL423_SC43	7203	219253	30.44	0	60
BdenJEL423_SC43_region	7203	219253	30.44	0	60
BdenJEL423_SC44	7151	224458	31.39	0	88
BdenJEL423_SC44_region	7151	224458	31.39	0	88
BdenJEL423_SC45	7120	250178	35.14	0	77
BdenJEL423_SC45_region	7120	250178	35.14	0	77
BdenJEL423_SC46	7014	221729	31.61	0	66
BdenJEL423_SC46_region	7014	221729	31.61	0	66
BdenJEL423_SC47	6856	527330	76.92	0	198
BdenJEL423_SC47_region	6856	527330	76.92	0	198
BdenJEL423_SC48	6834	301729	44.15	0	76
BdenJEL423_SC48_region	6834	301729	44.15	0	76
BdenJEL423_SC49	6519	507137	77.79	0	422
BdenJEL423_SC49_region	6519	507137	77.79	0	422
BdenJEL423_SC50	6174	225618	36.54	0	94
BdenJEL423_SC50_region	6174	225618	36.54	0	94
BdenJEL423_SC51	6095	773508	126.91	0	830
BdenJEL423_SC51_region	6095	773508	126.91	0	830
BdenJEL423_SC52	6071	117963	19.43	1	47
BdenJEL423_SC52_region	6071	117963	19.43	1	47
BdenJEL423_SC53	6016	1379528	229.31	0	652
BdenJEL423_SC53_region	6016	1379528	229.31	0	652
BdenJEL423_SC54	5992	1024059	170.90	0	880
BdenJEL423_SC54_region	5992	1024059	170.90	0	880
BdenJEL423_SC55	5977	131915	22.07	0	49
BdenJEL423_SC55_region	5977	131915	22.07	0	49
BdenJEL423_SC56	5808	223241	38.44	0	125
BdenJEL423_SC56_region	5808	223241	38.44	0	125
BdenJEL423_SC57	5752	423371	73.60	0	190
BdenJEL423_SC57_region	5752	423371	73.60	0	190
BdenJEL423_SC58	8484	2670269	314.74	0	2481
BdenJEL423_SC58_region	8484	2670269	314.74	0	2481
BdenJEL423_SC59	5694	321330	56.43	2	137
BdenJEL423_SC59_region	5694	321330	56.43	2	137
BdenJEL423_SC60	5543	45196	8.15	0	43
BdenJEL423_SC60_region	5543	45196	8.15	0	43
BdenJEL423_SC61	5512	165083	29.95	0	65
BdenJEL423_SC61_region	5512	165083	29.95	0	65
BdenJEL423_SC62	5380	155825	28.96	0	69
BdenJEL423_SC62_region	5380	155825	28.96	0	69
BdenJEL423_SC63	5288	128518	24.30	0	68
BdenJEL423_SC63_region	5288	128518	24.30	0	68
BdenJEL423_SC64	5189	190117	36.64	0	70
BdenJEL423_SC64_region	5189	190117	36.64	0	70
BdenJEL423_SC65	5077	1266702	249.50	0	892
BdenJEL423_SC65_region	5077	1266702	249.50	0	892
BdenJEL423_SC66	4922	127069	25.82	1	77
BdenJEL423_SC66_region	4922	127069	25.82	1	77
BdenJEL423_SC67	4755	135958	28.59	0	72
BdenJEL423_SC67_region	4755	135958	28.59	0	72
BdenJEL423_SC68	4529	1831730	404.44	3	1166
BdenJEL423_SC68_region	4529	1831730	404.44	3	1166
BdenJEL423_SC69	2608	529956	203.20	0	489
BdenJEL423_SC69_region	2608	529956	203.20	0	489
BdenJEL423_mito	175284	95654755	545.71	0	943
BdenJEL423_mito_region	175284	95654755	545.71	0	943
total	23897668	1149024041	48.08	0	2481
total_region	23897668	1149024041	48.08	0	2481
