chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	21057096	4.74	0	238
BdenJEL423_SC01_region	4440149	21057096	4.74	0	238
BdenJEL423_SC02	2313122	19880160	8.59	0	1088
BdenJEL423_SC02_region	2313122	19880160	8.59	0	1088
BdenJEL423_SC03	1829408	14860047	8.12	0	690
BdenJEL423_SC03_region	1829408	14860047	8.12	0	690
BdenJEL423_SC04	1803316	8632450	4.79	0	405
BdenJEL423_SC04_region	1803316	8632450	4.79	0	405
BdenJEL423_SC05	1707251	8738092	5.12	0	642
BdenJEL423_SC05_region	1707251	8738092	5.12	0	642
BdenJEL423_SC06	1545501	9358796	6.06	0	492
BdenJEL423_SC06_region	1545501	9358796	6.06	0	492
BdenJEL423_SC07	1398854	10772584	7.70	0	646
BdenJEL423_SC07_region	1398854	10772584	7.70	0	646
BdenJEL423_SC08	1069847	8734003	8.16	0	1225
BdenJEL423_SC08_region	1069847	8734003	8.16	0	1225
BdenJEL423_SC09	1057463	4951314	4.68	0	60
BdenJEL423_SC09_region	1057463	4951314	4.68	0	60
BdenJEL423_SC10	1012305	5850382	5.78	0	1198
BdenJEL423_SC10_region	1012305	5850382	5.78	0	1198
BdenJEL423_SC11	979369	7237854	7.39	0	183
BdenJEL423_SC11_region	979369	7237854	7.39	0	183
BdenJEL423_SC12	937107	5284203	5.64	0	135
BdenJEL423_SC12_region	937107	5284203	5.64	0	135
BdenJEL423_SC13	898261	5752145	6.40	0	654
BdenJEL423_SC13_region	898261	5752145	6.40	0	654
BdenJEL423_SC14	857155	51885191	60.53	0	3061
BdenJEL423_SC14_region	857155	51885191	60.53	0	3061
BdenJEL423_SC15	557602	2993067	5.37	0	901
BdenJEL423_SC15_region	557602	2993067	5.37	0	901
BdenJEL423_SC16	498254	2887210	5.79	0	160
BdenJEL423_SC16_region	498254	2887210	5.79	0	160
BdenJEL423_SC17	243426	857341	3.52	0	113
BdenJEL423_SC17_region	243426	857341	3.52	0	113
BdenJEL423_SC18	48566	1503453	30.96	0	849
BdenJEL423_SC18_region	48566	1503453	30.96	0	849
BdenJEL423_SC19	69118	325834	4.71	0	28
BdenJEL423_SC19_region	69118	325834	4.71	0	28
BdenJEL423_SC20	45066	221453	4.91	0	41
BdenJEL423_SC20_region	45066	221453	4.91	0	41
BdenJEL423_SC21	28371	116930	4.12	0	14
BdenJEL423_SC21_region	28371	116930	4.12	0	14
BdenJEL423_SC22	17531	107507	6.13	0	26
BdenJEL423_SC22_region	17531	107507	6.13	0	26
BdenJEL423_SC23	15724	650479	41.37	0	322
BdenJEL423_SC23_region	15724	650479	41.37	0	322
BdenJEL423_SC24	15635	146415	9.36	0	27
BdenJEL423_SC24_region	15635	146415	9.36	0	27
BdenJEL423_SC25	13302	124828	9.38	0	31
BdenJEL423_SC25_region	13302	124828	9.38	0	31
BdenJEL423_SC26	12287	132081	10.75	0	37
BdenJEL423_SC26_region	12287	132081	10.75	0	37
BdenJEL423_SC27	11745	840256	71.54	0	616
