chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	988521370	222.63	0	8967
BdenJEL423_SC01_region	4440149	988521370	222.63	0	8967
BdenJEL423_SC02	2313122	617814992	267.09	0	18927
BdenJEL423_SC02_region	2313122	617814992	267.09	0	18927
BdenJEL423_SC03	1829408	595248662	325.38	0	14971
BdenJEL423_SC03_region	1829408	595248662	325.38	0	14971
BdenJEL423_SC04	1803316	516417752	286.37	0	1931
BdenJEL423_SC04_region	1803316	516417752	286.37	0	1931
BdenJEL423_SC05	1707251	533613852	312.56	0	11326
BdenJEL423_SC05_region	1707251	533613852	312.56	0	11326
BdenJEL423_SC06	1545501	386254479	249.92	0	16087
BdenJEL423_SC06_region	1545501	386254479	249.92	0	16087
BdenJEL423_SC07	1398854	343226235	245.36	0	9746
BdenJEL423_SC07_region	1398854	343226235	245.36	0	9746
BdenJEL423_SC08	1069847	339990210	317.79	0	17558
BdenJEL423_SC08_region	1069847	339990210	317.79	0	17558
BdenJEL423_SC09	1057463	220367924	208.39	0	1683
BdenJEL423_SC09_region	1057463	220367924	208.39	0	1683
BdenJEL423_SC10	1012305	323412559	319.48	0	3999
BdenJEL423_SC10_region	1012305	323412559	319.48	0	3999
BdenJEL423_SC11	979369	220762064	225.41	0	2507
BdenJEL423_SC11_region	979369	220762064	225.41	0	2507
BdenJEL423_SC12	937107	202345444	215.93	0	3320
BdenJEL423_SC12_region	937107	202345444	215.93	0	3320
BdenJEL423_SC13	898261	261837335	291.49	0	23095
BdenJEL423_SC13_region	898261	261837335	291.49	0	23095
BdenJEL423_SC14	857155	479753984	559.71	0	16991
BdenJEL423_SC14_region	857155	479753984	559.71	0	16991
BdenJEL423_SC15	557602	132800790	238.16	0	7244
BdenJEL423_SC15_region	557602	132800790	238.16	0	7244
BdenJEL423_SC16	498254	103713788	208.15	0	2995
BdenJEL423_SC16_region	498254	103713788	208.15	0	2995
BdenJEL423_SC17	243426	50170745	206.10	0	1034
BdenJEL423_SC17_region	243426	50170745	206.10	0	1034
BdenJEL423_SC18	48566	20202214	415.97	0	7464
BdenJEL423_SC18_region	48566	20202214	415.97	0	7464
BdenJEL423_SC19	69118	11953823	172.95	0	1265
BdenJEL423_SC19_region	69118	11953823	172.95	0	1265
BdenJEL423_SC20	45066	15961634	354.18	0	2126
BdenJEL423_SC20_region	45066	15961634	354.18	0	2126
BdenJEL423_SC21	28371	6218436	219.18	2	455
BdenJEL423_SC21_region	28371	6218436	219.18	2	455
BdenJEL423_SC22	17531	2985886	170.32	0	1023
BdenJEL423_SC22_region	17531	2985886	170.32	0	1023
BdenJEL423_SC23	15724	13207051	839.93	0	5451
BdenJEL423_SC23_region	15724	13207051	839.93	0	5451
BdenJEL423_SC24	15635	3525566	225.49	0	1346
BdenJEL423_SC24_region	15635	3525566	225.49	0	1346
BdenJEL423_SC25	13302	4302745	323.47	0	1420
BdenJEL423_SC25_region	13302	4302745	323.47	0	1420
BdenJEL423_SC26	12287	4316743	351.33	3	1225
BdenJEL423_SC26_region	12287	4316743	351.33	3	1225
BdenJEL423_SC27	11745	8010794	682.06	0	4330
BdenJEL423_SC27_region	11745	8010794	682.06	0	4330
BdenJEL423_SC28	11715	1957780	167.12	0	454
BdenJEL423_SC28_region	11715	1957780	167.12	0	454
BdenJEL423_SC29	10519	2118993	201.44	0	1068
BdenJEL423_SC29_region	10519	2118993	201.44	0	1068
BdenJEL423_SC30	9825	2519321	256.42	0	1772
BdenJEL423_SC30_region	9825	2519321	256.42	0	1772
BdenJEL423_SC31	9499	1428650	150.40	0	677
BdenJEL423_SC31_region	9499	1428650	150.40	0	677
BdenJEL423_SC32	9394	6845434	728.70	0	5079
BdenJEL423_SC32_region	9394	6845434	728.70	0	5079
BdenJEL423_SC33	8891	2179687	245.16	0	424
BdenJEL423_SC33_region	8891	2179687	245.16	0	424
BdenJEL423_SC34	8868	1555262	175.38	0	845
BdenJEL423_SC34_region	8868	1555262	175.38	0	845
BdenJEL423_SC35	14477	21076052	1455.83	0	16879
BdenJEL423_SC35_region	14477	21076052	1455.83	0	16879
BdenJEL423_SC36	8411	1691937	201.16	0	870
BdenJEL423_SC36_region	8411	1691937	201.16	0	870
BdenJEL423_SC37	8246	1902719	230.74	0	1644
BdenJEL423_SC37_region	8246	1902719	230.74	0	1644
BdenJEL423_SC38	7919	1694290	213.95	0	1305
BdenJEL423_SC38_region	7919	1694290	213.95	0	1305
BdenJEL423_SC39	7486	6676765	891.90	0	11086
BdenJEL423_SC39_region	7486	6676765	891.90	0	11086
BdenJEL423_SC40	7373	1085305	147.20	0	390
BdenJEL423_SC40_region	7373	1085305	147.20	0	390
BdenJEL423_SC41	7250	7700527	1062.14	0	2508
BdenJEL423_SC41_region	7250	7700527	1062.14	0	2508
BdenJEL423_SC42	7213	1259705	174.64	0	478
BdenJEL423_SC42_region	7213	1259705	174.64	0	478
