chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	183952104	41.43	0	227
BdenJEL423_SC01_region	4440149	183952104	41.43	0	227
BdenJEL423_SC02	2313122	136751777	59.12	0	782
BdenJEL423_SC02_region	2313122	136751777	59.12	0	782
BdenJEL423_SC03	1829408	95160687	52.02	0	811
BdenJEL423_SC03_region	1829408	95160687	52.02	0	811
BdenJEL423_SC04	1803316	78452967	43.50	0	197
BdenJEL423_SC04_region	1803316	78452967	43.50	0	197
BdenJEL423_SC05	1707251	85327471	49.98	0	807
BdenJEL423_SC05_region	1707251	85327471	49.98	0	807
BdenJEL423_SC06	1545501	64876751	41.98	0	1027
BdenJEL423_SC06_region	1545501	64876751	41.98	0	1027
BdenJEL423_SC07	1398854	66625978	47.63	0	335
BdenJEL423_SC07_region	1398854	66625978	47.63	0	335
BdenJEL423_SC08	1069847	50569003	47.27	0	545
BdenJEL423_SC08_region	1069847	50569003	47.27	0	545
BdenJEL423_SC09	1057463	42099607	39.81	0	202
BdenJEL423_SC09_region	1057463	42099607	39.81	0	202
BdenJEL423_SC10	1012305	41754173	41.25	0	205
BdenJEL423_SC10_region	1012305	41754173	41.25	0	205
BdenJEL423_SC11	979369	39823746	40.66	0	376
BdenJEL423_SC11_region	979369	39823746	40.66	0	376
BdenJEL423_SC12	937107	38536090	41.12	0	173
BdenJEL423_SC12_region	937107	38536090	41.12	0	173
BdenJEL423_SC13	898261	46204827	51.44	0	1064
BdenJEL423_SC13_region	898261	46204827	51.44	0	1064
BdenJEL423_SC14	857155	69534212	81.12	0	1769
BdenJEL423_SC14_region	857155	69534212	81.12	0	1769
BdenJEL423_SC15	557602	23875731	42.82	0	281
BdenJEL423_SC15_region	557602	23875731	42.82	0	281
BdenJEL423_SC16	498254	16377550	32.87	0	204
BdenJEL423_SC16_region	498254	16377550	32.87	0	204
BdenJEL423_SC17	243426	10656397	43.78	0	109
BdenJEL423_SC17_region	243426	10656397	43.78	0	109
BdenJEL423_SC18	48566	2658717	54.74	0	483
BdenJEL423_SC18_region	48566	2658717	54.74	0	483
BdenJEL423_SC19	69118	1863125	26.96	0	93
BdenJEL423_SC19_region	69118	1863125	26.96	0	93
BdenJEL423_SC20	45066	2414448	53.58	0	189
BdenJEL423_SC20_region	45066	2414448	53.58	0	189
BdenJEL423_SC21	28371	1353994	47.72	0	79
BdenJEL423_SC21_region	28371	1353994	47.72	0	79
BdenJEL423_SC22	17531	414495	23.64	0	102
BdenJEL423_SC22_region	17531	414495	23.64	0	102
BdenJEL423_SC23	15724	1592850	101.30	0	632
BdenJEL423_SC23_region	15724	1592850	101.30	0	632
BdenJEL423_SC24	15635	661027	42.28	0	123
BdenJEL423_SC24_region	15635	661027	42.28	0	123
BdenJEL423_SC25	13302	556874	41.86	0	207
BdenJEL423_SC25_region	13302	556874	41.86	0	207
BdenJEL423_SC26	12287	545974	44.44	0	123
BdenJEL423_SC26_region	12287	545974	44.44	0	123
BdenJEL423_SC27	11745	1047553	89.19	0	466
BdenJEL423_SC27_region	11745	1047553	89.19	0	466
BdenJEL423_SC28	11715	416875	35.58	0	78
BdenJEL423_SC28_region	11715	416875	35.58	0	78
BdenJEL423_SC29	10519	300313	28.55	0	64
BdenJEL423_SC29_region	10519	300313	28.55	0	64
BdenJEL423_SC30	9825	281069	28.61	0	72
BdenJEL423_SC30_region	9825	281069	28.61	0	72
BdenJEL423_SC31	9499	410596	43.23	0	108
BdenJEL423_SC31_region	9499	410596	43.23	0	108
BdenJEL423_SC32	9394	725600	77.24	0	383
BdenJEL423_SC32_region	9394	725600	77.24	0	383
BdenJEL423_SC33	8891	346645	38.99	0	66
BdenJEL423_SC33_region	8891	346645	38.99	0	66
BdenJEL423_SC34	8868	260898	29.42	0	69
BdenJEL423_SC34_region	8868	260898	29.42	0	69
BdenJEL423_SC35	14477	1873058	129.38	0	855
BdenJEL423_SC35_region	14477	1873058	129.38	0	855
BdenJEL423_SC36	8411	336169	39.97	0	98
BdenJEL423_SC36_region	8411	336169	39.97	0	98
BdenJEL423_SC37	8246	310961	37.71	0	74
BdenJEL423_SC37_region	8246	310961	37.71	0	74
BdenJEL423_SC38	7919	307035	38.77	0	68
BdenJEL423_SC38_region	7919	307035	38.77	0	68
BdenJEL423_SC39	7486	384062	51.30	0	147
BdenJEL423_SC39_region	7486	384062	51.30	0	147
BdenJEL423_SC40	7373	142348	19.31	0	36
BdenJEL423_SC40_region	7373	142348	19.31	0	36
BdenJEL423_SC41	7250	5479608	755.81	3	1130
BdenJEL423_SC41_region	7250	5479608	755.81	3	1130
BdenJEL423_SC42	7213	244184	33.85	0	84
BdenJEL423_SC42_region	7213	244184	33.85	0	84
BdenJEL423_SC43	7203	193363	26.84	0	67
BdenJEL423_SC43_region	7203	193363	26.84	0	67
BdenJEL423_SC44	7151	230361	32.21	0	109
BdenJEL423_SC44_region	7151	230361	32.21	0	109
BdenJEL423_SC45	7120	270430	37.98	0	86
BdenJEL423_SC45_region	7120	270430	37.98	0	86
BdenJEL423_SC46	7014	256988	36.64	0	82
BdenJEL423_SC46_region	7014	256988	36.64	0	82
BdenJEL423_SC47	6856	728626	106.28	0	300
BdenJEL423_SC47_region	6856	728626	106.28	0	300
BdenJEL423_SC48	6834	362417	53.03	0	99
BdenJEL423_SC48_region	6834	362417	53.03	0	99
BdenJEL423_SC49	6519	617533	94.73	0	344
BdenJEL423_SC49_region	6519	617533	94.73	0	344
BdenJEL423_SC50	6174	218663	35.42	0	70
BdenJEL423_SC50_region	6174	218663	35.42	0	70
BdenJEL423_SC51	6095	1057386	173.48	0	576
BdenJEL423_SC51_region	6095	1057386	173.48	0	576
BdenJEL423_SC52	6071	52307	8.62	0	45
BdenJEL423_SC52_region	6071	52307	8.62	0	45
BdenJEL423_SC53	6016	1137098	189.01	0	493
BdenJEL423_SC53_region	6016	1137098	189.01	0	493
BdenJEL423_SC54	5992	1771170	295.59	0	1279
BdenJEL423_SC54_region	5992	1771170	295.59	0	1279
BdenJEL423_SC55	5977	138267	23.13	0	56
BdenJEL423_SC55_region	5977	138267	23.13	0	56
BdenJEL423_SC56	5808	206200	35.50	0	111
BdenJEL423_SC56_region	5808	206200	35.50	0	111
BdenJEL423_SC57	5752	771984	134.21	0	693
BdenJEL423_SC57_region	5752	771984	134.21	0	693
BdenJEL423_SC58	8484	2997553	353.32	0	2739
BdenJEL423_SC58_region	8484	2997553	353.32	0	2739
BdenJEL423_SC59	5694	341733	60.02	0	125
BdenJEL423_SC59_region	5694	341733	60.02	0	125
BdenJEL423_SC60	5543	117148	21.13	0	70
BdenJEL423_SC60_region	5543	117148	21.13	0	70
BdenJEL423_SC61	5512	182032	33.02	0	83
BdenJEL423_SC61_region	5512	182032	33.02	0	83
BdenJEL423_SC62	5380	152707	28.38	0	71
BdenJEL423_SC62_region	5380	152707	28.38	0	71
BdenJEL423_SC63	5288	84053	15.90	0	51
BdenJEL423_SC63_region	5288	84053	15.90	0	51
BdenJEL423_SC64	5189	173357	33.41	1	88
BdenJEL423_SC64_region	5189	173357	33.41	1	88
BdenJEL423_SC65	5077	1506934	296.82	3	927
BdenJEL423_SC65_region	5077	1506934	296.82	3	927
BdenJEL423_SC66	4922	136879	27.81	0	68
BdenJEL423_SC66_region	4922	136879	27.81	0	68
BdenJEL423_SC67	4755	159968	33.64	0	83
BdenJEL423_SC67_region	4755	159968	33.64	0	83
BdenJEL423_SC68	4529	1326114	292.81	0	828
BdenJEL423_SC68_region	4529	1326114	292.81	0	828
BdenJEL423_SC69	2608	842705	323.12	0	814
BdenJEL423_SC69_region	2608	842705	323.12	0	814
BdenJEL423_mito	175284	91308232	520.92	0	896
BdenJEL423_mito_region	175284	91308232	520.92	0	896
total	23897668	1222849757	51.17	0	2739
total_region	23897668	1222849757	51.17	0	2739
