chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	1132351284	255.03	0	1443
BdenJEL423_SC01_region	4440149	1132351284	255.03	0	1443
BdenJEL423_SC02	2313122	852333110	368.48	0	4768
BdenJEL423_SC02_region	2313122	852333110	368.48	0	4768
BdenJEL423_SC03	1829408	696831976	380.91	0	5140
BdenJEL423_SC03_region	1829408	696831976	380.91	0	5140
BdenJEL423_SC04	1803316	458043950	254.00	0	1119
BdenJEL423_SC04_region	1803316	458043950	254.00	0	1119
BdenJEL423_SC05	1707251	422289614	247.35	0	5831
BdenJEL423_SC05_region	1707251	422289614	247.35	0	5831
BdenJEL423_SC06	1545501	389427633	251.98	0	2423
BdenJEL423_SC06_region	1545501	389427633	251.98	0	2423
BdenJEL423_SC07	1398854	367157499	262.47	0	2226
BdenJEL423_SC07_region	1398854	367157499	262.47	0	2226
BdenJEL423_SC08	1069847	396281746	370.41	0	2974
BdenJEL423_SC08_region	1069847	396281746	370.41	0	2974
BdenJEL423_SC09	1057463	263888146	249.55	0	1185
BdenJEL423_SC09_region	1057463	263888146	249.55	0	1185
BdenJEL423_SC10	1012305	256286995	253.17	0	1356
BdenJEL423_SC10_region	1012305	256286995	253.17	0	1356
BdenJEL423_SC11	979369	249544475	254.80	0	2485
BdenJEL423_SC11_region	979369	249544475	254.80	0	2485
BdenJEL423_SC12	937107	233667890	249.35	0	1304
BdenJEL423_SC12_region	937107	233667890	249.35	0	1304
BdenJEL423_SC13	898261	250038630	278.36	0	7676
BdenJEL423_SC13_region	898261	250038630	278.36	0	7676
BdenJEL423_SC14	857155	338322197	394.70	0	10152
BdenJEL423_SC14_region	857155	338322197	394.70	0	10152
BdenJEL423_SC15	557602	142002409	254.67	0	2307
BdenJEL423_SC15_region	557602	142002409	254.67	0	2307
BdenJEL423_SC16	498254	128312594	257.52	0	1110
BdenJEL423_SC16_region	498254	128312594	257.52	0	1110
BdenJEL423_SC17	243426	62984117	258.74	0	688
BdenJEL423_SC17_region	243426	62984117	258.74	0	688
BdenJEL423_SC18	48566	14061537	289.53	0	1658
BdenJEL423_SC18_region	48566	14061537	289.53	0	1658
BdenJEL423_SC19	69118	15559676	225.12	0	750
BdenJEL423_SC19_region	69118	15559676	225.12	0	750
BdenJEL423_SC20	45066	23496807	521.39	0	1432
BdenJEL423_SC20_region	45066	23496807	521.39	0	1432
BdenJEL423_SC21	28371	6843813	241.23	0	355
BdenJEL423_SC21_region	28371	6843813	241.23	0	355
BdenJEL423_SC22	17531	1579968	90.12	0	568
BdenJEL423_SC22_region	17531	1579968	90.12	0	568
BdenJEL423_SC23	15724	7896480	502.19	0	2223
BdenJEL423_SC23_region	15724	7896480	502.19	0	2223
BdenJEL423_SC24	15635	4736653	302.95	0	1029
BdenJEL423_SC24_region	15635	4736653	302.95	0	1029
BdenJEL423_SC25	13302	3634473	273.23	0	1075
BdenJEL423_SC25_region	13302	3634473	273.23	0	1075
BdenJEL423_SC26	12287	3728999	303.49	5	674
BdenJEL423_SC26_region	12287	3728999	303.49	5	674
BdenJEL423_SC27	11745	5192503	442.10	0	1314
BdenJEL423_SC27_region	11745	5192503	442.10	0	1314
BdenJEL423_SC28	11715	2601853	222.10	0	557
BdenJEL423_SC28_region	11715	2601853	222.10	0	557
BdenJEL423_SC29	10519	2564760	243.82	0	679
BdenJEL423_SC29_region	10519	2564760	243.82	0	679
BdenJEL423_SC30	9825	2797805	284.76	0	703
BdenJEL423_SC30_region	9825	2797805	284.76	0	703
BdenJEL423_SC31	9499	2404450	253.13	0	699
BdenJEL423_SC31_region	9499	2404450	253.13	0	699
BdenJEL423_SC32	9394	4069404	433.19	0	1490
BdenJEL423_SC32_region	9394	4069404	433.19	0	1490
BdenJEL423_SC33	8891	1721005	193.57	0	308
BdenJEL423_SC33_region	8891	1721005	193.57	0	308
BdenJEL423_SC34	8868	1709090	192.73	0	397
BdenJEL423_SC34_region	8868	1709090	192.73	0	397
BdenJEL423_SC35	14477	4409391	304.58	0	1993
BdenJEL423_SC35_region	14477	4409391	304.58	0	1993
BdenJEL423_SC36	8411	1983101	235.77	0	592
BdenJEL423_SC36_region	8411	1983101	235.77	0	592
BdenJEL423_SC37	8246	1454059	176.34	0	482
BdenJEL423_SC37_region	8246	1454059	176.34	0	482
BdenJEL423_SC38	7919	1854446	234.18	0	451
BdenJEL423_SC38_region	7919	1854446	234.18	0	451
BdenJEL423_SC39	7486	2779019	371.23	0	1206
BdenJEL423_SC39_region	7486	2779019	371.23	0	1206
BdenJEL423_SC40	7373	969605	131.51	1	221
BdenJEL423_SC40_region	7373	969605	131.51	1	221
BdenJEL423_SC41	7250	18498622	2551.53	0	4732
BdenJEL423_SC41_region	7250	18498622	2551.53	0	4732
BdenJEL423_SC42	7213	1617570	224.26	0	556
BdenJEL423_SC42_region	7213	1617570	224.26	0	556
BdenJEL423_SC43	7203	1323791	183.78	1	503
BdenJEL423_SC43_region	7203	1323791	183.78	1	503
BdenJEL423_SC44	7151	1158995	162.07	0	505
BdenJEL423_SC44_region	7151	1158995	162.07	0	505
BdenJEL423_SC45	7120	1636188	229.80	0	466
BdenJEL423_SC45_region	7120	1636188	229.80	0	466
BdenJEL423_SC46	7014	1313853	187.32	0	420
BdenJEL423_SC46_region	7014	1313853	187.32	0	420
BdenJEL423_SC47	6856	3510622	512.05	3	1348
BdenJEL423_SC47_region	6856	3510622	512.05	3	1348
BdenJEL423_SC48	6834	2422158	354.43	0	571
BdenJEL423_SC48_region	6834	2422158	354.43	0	571
BdenJEL423_SC49	6519	2547646	390.80	0	1996
BdenJEL423_SC49_region	6519	2547646	390.80	0	1996
BdenJEL423_SC50	6174	1564466	253.40	0	459
BdenJEL423_SC50_region	6174	1564466	253.40	0	459
BdenJEL423_SC51	6095	3236014	530.93	0	2586
BdenJEL423_SC51_region	6095	3236014	530.93	0	2586
BdenJEL423_SC52	6071	374794	61.74	0	255
BdenJEL423_SC52_region	6071	374794	61.74	0	255
BdenJEL423_SC53	6016	5182163	861.40	0	2250
