Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
BdenJEL423_SC01	4440149	8996	2.03	0	4498	82	35	2.34
BdenJEL423_SC02	2313122	6470	2.80	0	3235	53	26	2.04
BdenJEL423_SC03	1829408	5876	3.21	0	2938	51	33	1.55
BdenJEL423_SC04	1803316	4854	2.69	0	2427	30	17	1.76
BdenJEL423_SC05	1707251	4738	2.78	0	2369	51	18	2.83
BdenJEL423_SC06	1545501	5738	3.71	0	2869	49	31	1.58
BdenJEL423_SC07	1398854	4516	3.23	0	2258	34	19	1.79
BdenJEL423_SC08	1069847	3878	3.62	0	1939	42	19	2.21
BdenJEL423_SC09	1057463	2750	2.60	0	1375	22	7	3.14
BdenJEL423_SC10	1012305	3064	3.03	0	1532	27	18	1.50
BdenJEL423_SC11	979369	3556	3.63	0	1778	38	16	2.38
BdenJEL423_SC12	937107	4734	5.05	0	2367	59	27	2.19
BdenJEL423_SC13	898261	3362	3.74	0	1681	50	15	3.33
BdenJEL423_SC14	857155	5582	6.51	0	2791	60	39	1.54
BdenJEL423_SC15	557602	1676	3.01	0	838	9	5	1.80
BdenJEL423_SC16	498254	2522	5.06	0	1261	25	11	2.27
BdenJEL423_SC17	243426	1818	7.47	0	909	11	8	1.38
BdenJEL423_SC18	48566	744	15.32	0	372	11	3	3.67
BdenJEL423_SC19	69118	376	5.44	0	188	4	1	4.00
BdenJEL423_SC20	45066	414	9.19	0	207	4	2	2.00
BdenJEL423_SC21	28371	38	1.34	0	19	0	0	0
BdenJEL423_SC22	17531	280	15.97	0	140	3	2	1.50
BdenJEL423_SC23	15724	176	11.19	0	88	3	0	0
BdenJEL423_SC24	15635	166	10.62	0	83	1	0	0
BdenJEL423_SC25	13302	112	8.42	0	56	5	4	1.25
BdenJEL423_SC26	12287	112	9.12	0	56	2	1	2.00
BdenJEL423_SC27	11745	124	10.56	0	62	2	1	2.00
BdenJEL423_SC28	11715	90	7.68	0	45	0	0	0
BdenJEL423_SC29	10519	194	18.44	0	97	4	1	4.00
BdenJEL423_SC30	9825	146	14.86	0	73	1	3	0.33
BdenJEL423_SC31	9499	146	15.37	0	73	1	0	0
BdenJEL423_SC32	9394	102	10.86	0	51	2	1	2.00
BdenJEL423_SC33	8891	16	1.80	0	8	0	0	0
BdenJEL423_SC34	8868	96	10.83	0	48	1	0	0
BdenJEL423_SC35	14477	86	5.94	0	43	0	0	0
BdenJEL423_SC36	8411	96	11.41	0	48	1	0	0
BdenJEL423_SC37	8246	84	10.19	0	42	3	0	0
BdenJEL423_SC38	7919	42	5.30	0	21	1	0	0
BdenJEL423_SC39	7486	42	5.61	0	21	0	0	0
BdenJEL423_SC40	7373	48	6.51	0	24	1	1	1.00
BdenJEL423_SC41	7250	36	4.97	0	18	0	0	0
BdenJEL423_SC42	7213	64	8.87	0	32	1	1	1.00
BdenJEL423_SC43	7203	52	7.22	0	26	1	1	1.00
BdenJEL423_SC44	7151	118	16.50	0	59	1	0	0
BdenJEL423_SC45	7120	62	8.71	0	31	1	0	0
BdenJEL423_SC46	7014	40	5.70	0	20	1	0	0
BdenJEL423_SC47	6856	50	7.29	0	25	1	0	0
BdenJEL423_SC48	6834	46	6.73	0	23	0	0	0
BdenJEL423_SC49	6519	64	9.82	0	32	1	0	0
BdenJEL423_SC50	6174	128	20.73	0	64	0	1	0.00
BdenJEL423_SC51	6095	40	6.56	0	20	0	0	0
BdenJEL423_SC52	6071	36	5.93	0	18	1	1	1.00
BdenJEL423_SC53	6016	16	2.66	0	8	0	0	0
BdenJEL423_SC54	5992	24	4.01	0	12	0	0	0
BdenJEL423_SC55	5977	40	6.69	0	20	0	0	0
BdenJEL423_SC56	5808	52	8.95	0	26	2	0	0
BdenJEL423_SC57	5752	66	11.47	0	33	2	0	0
BdenJEL423_SC58	8484	132	15.56	0	66	4	5	0.80
BdenJEL423_SC59	5694	70	12.29	0	35	0	1	0.00
BdenJEL423_SC60	5543	104	18.76	0	52	1	0	0
BdenJEL423_SC61	5512	60	10.89	0	30	1	0	0
BdenJEL423_SC62	5380	42	7.81	0	21	0	0	0
BdenJEL423_SC63	5288	62	11.72	0	31	0	1	0.00
BdenJEL423_SC64	5189	64	12.33	0	32	0	0	0
BdenJEL423_SC65	5077	134	26.39	0	67	3	1	3.00
BdenJEL423_SC66	4922	58	11.78	0	29	0	0	0
BdenJEL423_SC67	4755	54	11.36	0	27	2	0	0
BdenJEL423_SC68	4529	14	3.09	0	7	0	0	0
BdenJEL423_SC69	2608	34	13.04	0	17	0	0	0
BdenJEL423_mito	175284	438	2.50	0	219	0	1	0.00
Totals	23897668	80060	3.35	0	40030	766	377	2.03
